127.0.0.1 - - [17/Jul/2014:16:32:02 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:05 +0530] "GET /vision/ HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:17 +0530] "GET /vision/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:18 +0530] "GET /vision/user/ HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:18 +0530] "GET /vision/user/user.css HTTP/1.1" 200 7320
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:19 +0530] "GET /vision/user/user.css HTTP/1.1" 200 7320
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:19 +0530] "GET /vision/user/images/hover.png HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:32:19 +0530] "GET /vision/user/images/arrow.png HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:07 +0530] "GET /vision/user/ HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:07 +0530] "GET /vision/user/user.css HTTP/1.1" 200 7321
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:07 +0530] "GET /vision/user/images/arrow.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:07 +0530] "GET /vision/user/images/hover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:16 +0530] "GET /vision/user/newuser.html HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:48 +0530] "GET /vision/user/ HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:48 +0530] "GET /vision/user/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:48 +0530] "GET /vision/user/images/hover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:48 +0530] "GET /vision/user/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:49 +0530] "GET /vision/user/newuser.jsp HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:49 +0530] "GET /vision/user/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:34:49 +0530] "GET /vision/user/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:35:31 +0530] "POST /vision/user/RegisterServlet HTTP/1.1" 404 1005
