127.0.0.1 - - [10/Aug/2014:11:54:07 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:12 +0530] "GET /vision/ HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:13 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:13 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:13 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:13 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:13 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:14 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:15 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:25 +0530] "GET /vision/ HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 200 15282
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 200 77814
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 200 130388
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 200 96450
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 200 55305
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 200 82286
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:26 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:32 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 4986
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:33 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:33 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:33 +0530] "GET /vision/user/images/loginform/name.jpg HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "POST /vision/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_index.jsp HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/css%20files/grid.css HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/js%20files/grid.js HTTP/1.1" 200 8491
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/loginform/user1.png HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/grid/1.jpg HTTP/1.1" 200 329745
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/grid/4.jpg HTTP/1.1" 200 79822
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/grid/3.jpg HTTP/1.1" 200 112777
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/grid/6.jpg HTTP/1.1" 200 53068
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/grid/5.jpg HTTP/1.1" 200 148618
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:54:42 +0530] "GET /vision/user/images/grid/2.gif HTTP/1.1" 200 163244
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:04 +0530] "GET /vision/user/jsp%20files/hotels/hotels.jsp HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:04 +0530] "GET /vision/user/js%20files/hotels.js HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:13 +0530] "POST /vision/HotelSelectionServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:13 +0530] "GET /vision/user/jsp%20files/hotels/heritagehotels.jsp HTTP/1.1" 200 3900
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:18 +0530] "GET /vision/HotelServlet?h_name=Amar%20Kothi HTTP/1.1" 200 6357
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:18 +0530] "GET /vision/admin/show.jsp HTTP/1.1" 200 59044
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:47 +0530] "GET /vision/HotelServlet?h_name=Fateh%20Prakash%20Palace HTTP/1.1" 200 6062
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:47 +0530] "GET /vision/admin/show.jsp HTTP/1.1" 200 31835
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:55 +0530] "GET /vision/user/jsp%20files/restaurants/restaurants.jsp HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:55:55 +0530] "GET /vision/user/js%20files/restaurants.js HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/jsp%20files/museums/museums.jsp HTTP/1.1" 200 12874
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/js%20files/scroll.js HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/images/museums/city_palace_Udaipur1-qpr.jpg HTTP/1.1" 200 91673
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/images/museums/vintage-collection-of-classic-cars-museum-udaipur-qpr.jpg HTTP/1.1" 200 62248
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/images/museums/shilpgram-museum4-qpr.jpg HTTP/1.1" 200 67090
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/images/museums/13731263-qpr.jpg HTTP/1.1" 200 54342
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:34 +0530] "GET /vision/user/images/museums/lok-kala-mandal-udaipur-qpr.jpg HTTP/1.1" 200 45009
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:39 +0530] "GET /vision/user/jsp%20files/museums/citypalace.jsp HTTP/1.1" 200 10858
